"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"1","CD84","rs3795324","15959694",9e-07,0.031,0.15,"[0.089-0.211]","Moderate albuminuria","HP_0012594"
"2","CD84","rs12733256","62497143",7e-11,NA,NA,NA,"eosinophil count","EFO_0004842"
"4","CD84","rs1265883","30670",2e-18,NA,NA,"[1.25-1.43]","Graves disease","EFO_0004237"
"5","CD84","rs6427528","33562",2e-06,NA,NA,NA,"response to tnf antagonist","EFO_0004653"
"6","CD84","rs16832015","24653",2e-06,NA,NA,NA,"neuropsychological test","EFO_0003926"
"7","CD84","rs10556717","64200261",3e-13,0.002225142,0.01626192,"[0.012-0.021]","eosinophil count","EFO_0004842"
"8","CD84","rs11583732","24344748",9e-07,0.00333916,0.0163733,"[0.0098-0.0229]","mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement","EFO_0008377, EFO_0008378"
"9","CD84","rs11265461","24303441",2e-08,0.00387669,0.0216092,"[0.014-0.029]","mosquito bite reaction itch intensity measurement","EFO_0008377"
"10","CD84","rs11291564","31390078",3e-12,0.03,0.2,"[0.14-0.26]","blood protein measurement","EFO_0007937"
"11","CD84","rs12026490","64639499",1e-12,NA,NA,"[0.75-0.85]","rheumatoid arthritis","EFO_0000685"
"12","CD84","rs11265449","36516405",1e-07,NA,NA,NA,"Eczema","HP_0000964"
"13","CD84","rs117201373","64718658",3e-13,NA,NA,"[1.409976234-1.815975894]","Graves disease","EFO_0004237"
"14","CD84","rs148363003","71351037",5e-10,NA,NA,"[1.39-1.89]","rheumatoid arthritis","EFO_0000685"
"15","CD84","rs1748512","63158665",5e-07,0.029293323,0.14709434,"[0.09-0.205]","blood protein measurement","EFO_0007937"
"16","CD84","rs11265402","36472068",1e-07,NA,NA,NA,"eosinophil count","EFO_0004842"
"17","CD5L","rs2065883","47657200",4e-21,0.06966,0.65791,"[0.52-0.79]","blood protein measurement","EFO_0007937"
"18","CD5L","rs77346326","61987447",1e-06,NA,136,"[81-191]","adipose tissue measurement","EFO_0004764"
"19","CD5L","rs2050568","24673878",2e-10,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"20","CD5L","rs58215884",NA,NA,NA,NA,NA,NA,NA
"21","CD5L","rs2765496","63148965",2e-82,0.023776224,0.471012,"[0.42-0.52]","blood protein measurement","EFO_0007937"
"22","CD5L","rs4971155","31395157",6e-26,0.02,0.26,"[0.22-0.3]","blood protein measurement","EFO_0007937"
"23","CD5L","rs6427401","63151404",3e-30,0.024451505,0.28259385,"[0.23-0.33]","blood protein measurement","EFO_0007937"
"24","CD5L","rs114458961","35673941",3e-08,0.01381,NA,NA,"DNA methylation","GO_0006306"
"25","CD5L","rs2765493","41451906",4e-06,0.079,0.374,"[0.22-0.53]","eye colour measurement","EFO_0009764"
"26","PGM1","rs192166173","16025575",4e-06,NA,0.342,NA,"FEV/FEC ratio, response to bronchodilator","EFO_0004713, GO_0097366"
"27","PGM1","rs2269241","13155",4e-07,NA,NA,"[1.02-1.18]","type i diabetes mellitus","EFO_0001359"
"28","PGM1","rs2749097","18311",2e-09,NA,0.12,"[0.08-0.16]","alcohol drinking","EFO_0004329"
"29","PGM1","rs4915928","62047110",2e-09,5.461603,32.851543,"[22.15-43.56]","cortical surface area measurement","EFO_0010736"
"30","PGM1","rs2749096","62312631",6e-13,NA,0.7325,NA,"protein measurement","EFO_0004747"
"31","PGM1","rs2269245","61967393",5e-10,NA,NA,"[1.04-1.07]","type ii diabetes mellitus","EFO_0001360"
"32","PGM1","rs2269247","62179243",3e-13,0.0049,0.0356,"[0.026-0.045]","type ii diabetes mellitus","EFO_0001360"
"33","PGM1","rs1126728","31390054",3e-23,0.03,0.29,"[0.23-0.35]","blood protein measurement","EFO_0007937"
"34","PGM1","rs2269233","31392587",5e-23,0.03,0.31,"[0.25-0.37]","blood protein measurement","EFO_0007937"
