"","hgnc_symbol","ensembl_gene_id","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"1","APCS","ENSG00000132703","rs9662662","21536051",2e-09,0.0259,0.1548,"[0.1-0.21]","growth-regulated alpha protein measurement","EFO_0008146"
"2","APCS","ENSG00000132703","rs34197548","21536056",9e-06,0.0657,0.2938,"[0.17-0.42]","growth-regulated alpha protein measurement","EFO_0008146"
"3","APCS","ENSG00000132703","rs10908733","21535427",2e-09,0.0232,0.1387,"[0.093-0.184]","eotaxin measurement","EFO_0008122"
"4","APCS","ENSG00000132703","rs4325129","28913",6e-06,NA,0.03,NA,"CCL2 measurement","EFO_0004749"
"5","APCS","ENSG00000132703","rs16827466","23440",4e-73,0.023,0.4199,"[0.37-0.46]","c-reactive protein measurement","EFO_0004458"
"6","APCS","ENSG00000132703","rs6702567","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"7","APCS","ENSG00000132703","rs2084257","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"8","APCS","ENSG00000132703","rs6659792","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"9","APCS","ENSG00000132703","rs10494324","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"10","APCS","ENSG00000132703","rs10494325","47486952",5e-06,NA,NA,NA,"acute myeloid leukemia","EFO_0000222"
"11","APCS","ENSG00000132703","rs11265230","21540670",2e-11,0.0216,0.1456,"[0.1-0.19]","CCL2 measurement","EFO_0004749"
"12","APCS","ENSG00000132703","rs2592902","47262312",8e-102,0.008551968,0.1832233,"[0.17-0.2]","c-reactive protein measurement","EFO_0004458"
"13","APCS","ENSG00000132703","rs1470516","34708455",2e-08,0.0013,0.0074,"[0.0049-0.0099]","self reported educational attainment","EFO_0004784"
"14","APCS","ENSG00000132703","rs10494326","47262228",2e-109,0.0175228,0.3896071,"[0.36-0.42]","c-reactive protein measurement","EFO_0004458"
"15","APCS","ENSG00000132703","rs16842320","61998324",8e-57,0.00664386,0.105535,"[0.093-0.119]","c-reactive protein measurement","EFO_0004458"
"16","APCS","ENSG00000132703","rs12093699","47262260",7e-15,0.008936312,0.06949826,"[0.052-0.087]","c-reactive protein measurement","EFO_0004458"
"17","APCS","ENSG00000132703","rs1037144","34718463",1e-08,0.0017,0.0095,"[0.0062-0.0128]","mathematical ability","EFO_0004875"
"18","APCS","ENSG00000132703","rs10797037","47879413",2e-06,NA,0.19,"[0.11-0.26]","chromosomal aberration frequency","EFO_0009860"
"19","APCS","ENSG00000132703","rs71632673","31398391",2e-24,0.08,0.84,"[0.68-1]","blood protein measurement","EFO_0007937"
"20","APCS","ENSG00000132703","rs79551159","47447690",8e-07,NA,1.37,"[0.98-2.27]","c-reactive protein measurement","EFO_0004458"
