"","hgnc_symbol","ensembl_gene_id","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"1","CD36","ENSG00000135218","rs10499859","13242",3e-06,NA,0.091,NA,"left ventricular structural measurement","EFO_0008205"
"2","CD36","ENSG00000135218","rs7795231","62074062",2e-09,NA,NA,NA,"diffuse plaque measurement","EFO_0010699"
"3","CD36","ENSG00000135218","rs10230573","15728455",5e-09,NA,NA,NA,"age-related hearing impairment","EFO_0005782"
"4","CD36","ENSG00000135218","rs799979","15745590",3e-08,0.1336,0.7513,"[0.49-1.01]","cognitive decline measurement, cognitive impairment","EFO_0007710, HP_0100543"
"5","CD36","ENSG00000135218","rs11574703","23126",8e-08,0.68,3.72,"[2.39-5.05]","response to fenofibrate","GO_1901557"
"6","CD36","ENSG00000135218","rs3211928",NA,NA,NA,NA,NA,NA,NA
"7","CD36","ENSG00000135218","rs111747875","56295401",3e-06,0.0152,NA,"[1.04-1.1]","unipolar depression","EFO_0003761"
"8","CD36","ENSG00000135218","rs3211932","62653144",4e-10,0.001941,0.012119,"[0.0083-0.0159]","mean corpuscular hemoglobin concentration","EFO_0004528"
"9","CD36","ENSG00000135218","rs144501645","78853064",5e-06,NA,NA,"[1.36199999999999-2.161]","coronary artery disease, Ischemic stroke, rare dyslipidemia","EFO_0001645, HP_0002140, Orphanet_101953"
"10","CD36","ENSG00000135218","rs3211938","80058146",3e-27,0.0113,0.122,"[0.1-0.144]","high density lipoprotein cholesterol measurement","EFO_0004612"
"11","CD36","ENSG00000135218","rs7797401","21891723",6e-22,0.003658713,0.03522368,"[0.028-0.042]","red blood cell distribution width","EFO_0005192"
"12","CD36","ENSG00000135218","rs3211931","36507754",9e-19,NA,NA,NA,"erythrocyte count","EFO_0004305"
"13","CD36","ENSG00000135218","rs71835930","64204176",7e-10,0.0045733107,0.028193384,"[0.019-0.037]","basophil count","EFO_0005090"
"14","CD36","ENSG00000135218","rs3211958","64408722",4e-10,0.0024295207,0.015174541,"[0.01-0.02]","mean corpuscular volume","EFO_0004526"
"15","CD36","ENSG00000135218","rs2366855","41172101",8e-08,NA,NA,NA,"body height","EFO_0004339"
"16","CD36","ENSG00000135218","rs11768817","62498772",3e-09,NA,NA,NA,"basophil count","EFO_0005090"
