"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"1","PGM1","rs192166173","16025575",4e-06,NA,0.342,NA,"FEV/FEC ratio, response to bronchodilator","EFO_0004713, GO_0097366"
"2","PGM1","rs2269241","13155",4e-07,NA,NA,"[1.02-1.18]","type i diabetes mellitus","EFO_0001359"
"3","PGM1","rs2749097","18311",2e-09,NA,0.12,"[0.08-0.16]","alcohol drinking","EFO_0004329"
"4","PGM1","rs4915928","62047110",2e-09,5.461603,32.851543,"[22.15-43.56]","cortical surface area measurement","EFO_0010736"
"5","PGM1","rs2749096",NA,NA,NA,NA,NA,NA,NA
"6","PGM1","rs2269245","61967393",5e-10,NA,NA,"[1.04-1.07]","type ii diabetes mellitus","EFO_0001360"
"7","PGM1","rs2269247","62179243",3e-13,0.0049,0.0356,"[0.026-0.045]","type ii diabetes mellitus","EFO_0001360"
"8","PGM1","rs1126728","31390054",3e-23,0.03,0.29,"[0.23-0.35]","blood protein measurement","EFO_0007937"
"9","PGM1","rs2269233","31392587",5e-23,0.03,0.31,"[0.25-0.37]","blood protein measurement","EFO_0007937"
"10","PGM1","rs2269235",NA,NA,NA,NA,NA,NA,NA
"11","PGM1","rs1354719","62083622",1e-08,NA,NA,NA,"PHF-tau measurement","EFO_0010750"
"12","PGM1","rs217470","64407374",1e-12,0.002375055,0.016942473,"[0.012-0.022]","mean corpuscular volume","EFO_0004526"
"13","APOE","rs419010","41168897",8e-09,NA,5.773656,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"14","APOE","rs111371860","41168673",6e-35,NA,12.327317,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"15","APOE","rs440446","55477870",9e-59,NA,NA,"[1.56-1.75]","Alzheimer's disease","EFO_0000249"
"16","APOE","rs449647","31400511",2e-58,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"17","APOE","rs78986976","41168849",8e-11,NA,6.508301,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"18","APOE","rs35336243","55477926",2e-09,NA,NA,"[1.15-1.33]","Alzheimer's disease","EFO_0000249"
